Genus,Species,Season,n,meanFFD,daysperC,R2,F-val,p-val,event,
Cephalanthus,occidentalis,Annual,22,195.6364,-4.6768,0.33419,10.0386,0.0048324,ffd,
Cerastium,vulgatum,Annual,22,131.7727,-7.1417,0.25148,6.7193,0.01742,ffd,
Chamaedaphne,calyculata,Annual,24,112.5417,-3.3718,0.19716,5.4028,0.029732,ffd,
Chelidonium,majus,Annual,23,133.3043,-5.6488,0.3884,13.3361,0.0014888,ffd,
Chelone,glabra,Annual,20,220.95,-1.7298,0.01299,0.23689,0.63234,ffd,
Chenopodium,album,Annual,19,181.7895,-7.2958,0.1356,2.6667,0.12085,ffd,
Chimaphila,umbellata,Annual,18,181.8333,-1.7196,0.017009,0.27686,0.60599,ffd,
Chrysanthemum,leucanthemum,Annual,22,148.5455,-2.2305,0.043555,0.91077,0.3513,ffd,
Cichorium,intybus,Annual,23,183.7826,-2.9323,0.085407,1.961,0.176,ffd,
Cicuta,bulbifera,Annual,19,206.2632,-5.4412,0.072123,1.3214,0.26626,ffd,
Cicuta,maculata,Annual,21,188.3333,-2.5065,0.021214,0.4118,0.52872,ffd,
Circaea,quadrisulcata,Annual,22,186.5,0.32048,0.00060605,0.012128,0.9134,ffd,
